ID,Team,Number,Name,Position,Height,Weight
190,Chicago,7,Brent Seabrook  ,D,75,220
191,Chicago,57,Trevor van Riemsdyk   **,D,74,188
210,Colorado,4,Tyson Barrie  ,D,70,190
211,Colorado,5,Nate Guenin  ,D,75,207
212,Colorado,8,Jan Hejda  ,D,76,230
213,Colorado,2,Nick Holden  ,D,76,210
214,Colorado,6,Erik Johnson  ,D,76,232
215,Colorado,22,Zach Redmond  ,D,74,205
216,Colorado,17,Brad Stuart  ,D,74,215
217,Colorado,44,Ryan Wilson   **,D,73,210
236,Dallas,24,Jordie Benn  ,D,74,200
237,Dallas,6,"Trevor Daley ""A"" ",D,71,195
238,Dallas,4,Jason Demers  ,D,73,195
239,Dallas,33,Alex Goligoski  ,D,71,190
240,Dallas,3,John Klingberg  ,D,74,180
241,Dallas,37,Patrik Nemeth   **,D,75,230
242,Dallas,5,Jamie Oleksiak  ,D,79,250
243,Dallas,28,David Schlemko  ,D,73,190
260,Minnesota,2,Keith Ballard   **,D,71,204
261,Minnesota,7,Jonathon Blum  ,D,73,188
262,Minnesota,25,Jonas Brodin  ,D,73,194
263,Minnesota,55,Matt Dumba  ,D,72,189
264,Minnesota,44,Justin Falk   **,D,77,215
265,Minnesota,5,Christian Folin  ,D,75,214
266,Minnesota,39,Nate Prosser  ,D,74,203
267,Minnesota,6,Marco Scandella   **,D,73,205
268,Minnesota,46,Jared Spurgeon  ,D,69,176
269,Minnesota,20,"Ryan Suter ""A"" ",D,73,200
287,Nashville,64,Victor Bartley  ,D,72,203
288,Nashville,14,Mattias Ekholm  ,D,76,204
289,Nashville,4,Ryan Ellis   **,D,70,175
290,Nashville,3,Seth Jones  ,D,76,205
291,Nashville,59,Roman Josi  ,D,73,192
292,Nashville,20,Anton Volchenkov  ,D,73,220
293,Nashville,6,"Shea Weber ""C"" ",D,76,233
311,St. Louis,19,Jay Bouwmeester  ,D,76,212
312,St. Louis,25,Chris Butler  ,D,73,196
313,St. Louis,28,Ian Cole  ,D,73,219
314,St. Louis,4,Carl Gunnarsson  ,D,74,196
315,St. Louis,5,"Barret Jackman ""A"" ",D,72,203
316,St. Louis,27,"Alex Pietrangelo ""A"" ",D,75,201
317,St. Louis,22,Kevin Shattenkirk  ,D,71,207
334,Winnipeg,44,Zach Bogosian  ,D,75,225
335,Winnipeg,33,Dustin Byfuglien  ,D,77,260
336,Winnipeg,63,Ben Chiarot  ,D,75,215
337,Winnipeg,24,Grant Clitsome   **,D,71,211
338,Winnipeg,39,Toby Enstrom  ,D,70,180
339,Winnipeg,23,Jay Harrison  ,D,76,220
340,Winnipeg,2,Adam Pardy  ,D,76,227
341,Winnipeg,4,Paul Postma  ,D,75,195
342,Winnipeg,5,"Mark Stuart ""A"" ",D,74,213
343,Winnipeg,8,Jacob Trouba   **,D,74,200
360,Boston,43,Matt Bartkowski  ,D,73,196
361,Boston,33,"Zdeno Chara ""C"" ",D,81,255
362,Boston,27,Dougie Hamilton  ,D,77,212
363,Boston,47,Torey Krug  ,D,69,181
364,Boston,54,Adam McQuaid  ,D,77,209
365,Boston,86,Kevan Miller  ,D,74,210
366,Boston,44,Dennis Seidenberg  ,D,73,210
384,Buffalo,61,Andre Benoit  ,D,71,191
385,Buffalo,4,"Josh Gorges ""A"" ",D,73,201
386,Buffalo,41,Andrej Meszaros  ,D,74,223
387,Buffalo,57,Tyler Myers  ,D,80,219
388,Buffalo,55,Rasmus Ristolainen  ,D,76,219
389,Buffalo,24,Tyson Strachan  ,D,75,215
390,Buffalo,6,Mike Weber  ,D,74,212
391,Buffalo,51,Nikita Zadorov  ,D,77,220
409,Detroit,65,Danny DeKeyser  ,D,75,191
410,Detroit,52,Jonathan Ericsson  ,D,76,220
411,Detroit,4,Jakub Kindl   **,D,75,199
412,Detroit,55,"Niklas Kronwall ""A"" ",D,72,194
413,Detroit,23,Brian Lashoff  ,D,75,221
414,Detroit,61,Xavier Ouellet  ,D,73,200
415,Detroit,27,Kyle Quincey  ,D,74,216
416,Detroit,2,Brendan Smith  ,D,74,211
436,Florida,51,"Brian Campbell ""A"" ",D,70,192
437,Florida,5,Aaron Ekblad  ,D,76,216
438,Florida,44,Erik Gudbranson  ,D,77,216
439,Florida,7,Dmitry Kulikov  ,D,73,204
440,Florida,33,"Willie Mitchell ""C"" ",D,75,210
441,Florida,4,Dylan Olsen  ,D,74,223
457,Montreal,28,Nathan Beaulieu  ,D,74,194
458,Montreal,74,Alexei Emelin  ,D,74,217
459,Montreal,77,Tom Gilbert  ,D,74,204
460,Montreal,55,Sergei Gonchar  ,D,74,210
461,Montreal,79,"Andrei Markov ""A"" ",D,72,197
462,Montreal,76,"P.K. Subban ""A"" ",D,72,214
463,Montreal,43,Mike Weaver  ,D,70,186
482,Ottawa,74,Mark Borowiecki   **,D,74,205
483,Ottawa,5,Cody Ceci  ,D,75,209
484,Ottawa,2,Jared Cowen  ,D,77,228
485,Ottawa,62,Eric Gryba  ,D,76,225
486,Ottawa,65,"Erik Karlsson ""C"" ",D,72,180
487,Ottawa,3,Marc Methot  ,D,75,230
488,Ottawa,4,"Chris Phillips ""A"" ",D,75,220
489,Ottawa,46,Patrick Wiercioch  ,D,77,206
505,Tampa Bay,8,Mark Barberio  ,D,73,185
506,Tampa Bay,25,Matthew Carle  ,D,72,205
507,Tampa Bay,5,Jason Garrison  ,D,74,218
508,Tampa Bay,7,Radko Gudas  ,D,72,204
509,Tampa Bay,77,Victor Hedman  ,D,78,233
510,Tampa Bay,89,Nikita Nesterov  ,D,72,183
511,Tampa Bay,,Mattias Ohlund  ,D,76,233
512,Tampa Bay,6,Anton Stralman  ,D,71,190
513,Tampa Bay,62,Andrej Sustr  ,D,80,225
514,Tampa Bay,53,Luke Witkowski  ,D,74,200
531,Toronto,4,Cody Franson  ,D,77,213
532,Toronto,51,Jake Gardiner  ,D,74,184
533,Toronto,55,Korbinian Holzer  ,D,75,205
534,Toronto,3,"Dion Phaneuf ""C"" ",D,75,214
535,Toronto,46,Roman Polak  ,D,72,236
536,Toronto,44,Morgan Rielly  ,D,73,205
537,Toronto,12,"Stephane Robidas ""A"" ",D,71,190
554,Carolina,73,Brett Bellemore  ,D,76,225
555,Carolina,27,Justin Faulk  ,D,72,215
556,Carolina,6,Tim Gleason  ,D,72,217
557,Carolina,65,Ron Hainsey  ,D,75,210
