Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,TotSnow,Max24hrPrecip,Max24hrSnow
8,1964,74,93,82,85,77.5,89.7,83.6,9.84,0,6.41,0
9,1964,73,92,80,85,76.2,88.4,82.3,4.22,0,1.15,0
10,1964,59,89,81,78,70.7,83.1,76.9,9.77,0,3.3,0
11,1964,58,83,75,76,69,80.8,74.9,3,0,1.42,0
12,1964,49,83,76,72,66.5,77.9,72.2,6.24,0,4.38,0
1,1965,35,84,70,57,57.9,76.1,67,1.98,0,0.95,0
2,1965,41,85,72,62,63.1,78.6,70.9,2.98,0,1.22,0
3,1965,46,89,76,68,65.5,80.7,73.1,3.97,0,1.6,0
4,1965,59,93,75,80,68.2,85.1,76.7,1.2,0,1.09,0
5,1965,61,92,78,80,71.8,85.1,78.4,0.44,0,0.23,0
6,1965,69,90,81,81,74.6,86.8,80.7,6.55,0,1.7,0
7,1965,70,92,78,85,74.3,88.3,81.3,6.56,0,1.92,0
8,1965,72,90,78,83,75.2,88.2,81.7,4.97,0,1.45,0
9,1965,70,92,78,79,74.5,85.2,79.9,11.38,0,4.12,0
10,1965,62,90,80,76,71.6,84.6,78.1,16.79,0,5.67,0
11,1965,59,85,75,73,67.4,81,74.2,0.96,0,0.41,0
12,1965,49,85,69,71,61,77.5,69.2,0.62,0,0.42,0
1,1966,35,81,72,59,58.5,73.5,66,3.97,0,2.07,0
2,1966,40,82,73,59,61.8,75.9,68.8,6.56,0,4.54,0
3,1966,47,82,74,66,61.3,77.1,69.2,3.25,0,2.07,0
4,1966,57,89,72,74,65.9,79.7,72.8,1.8,0,1.3,0
5,1966,67,88,75,78,71.2,83.9,77.5,5.53,0,2.03,0
6,1966,70,90,78,77,72.4,84,78.2,21.37,0,4.33,0
7,1966,71,94,78,83,74.7,87.4,81,8.5,0,1.68,0
8,1966,72,92,80,83,75.1,88.3,81.7,7.62,0,1.83,0
9,1966,70,93,79,83,74.6,87.7,81.1,8,0,2.02,0
10,1966,65,88,77,80,72,83.8,77.9,10.88,0,3.41,0
11,1966,44,86,74,66,62.2,78.1,70.2,3.84,0,2.52,0
12,1966,41,84,69,68,57.3,75.9,66.6,0.74,0,0.51,0
1,1967,42,86,73,66,63.8,78.9,71.3,2.75,0,0.55,0
2,1967,36,86,72,62,60.1,77.6,68.9,1.14,0,0.46,0
3,1967,53,88,72,73,65.5,80.1,72.8,3.6,0,1.68,0
4,1967,61,89,75,76,67.3,82,74.7,0.15,0,0.15,0
5,1967,67,93,77,79,72,86.5,79.3,1.68,0,1.16,0
6,1967,67,94,78,79,72.3,87.4,79.8,15.98,0,4.74,0
